time,id,source,dest
1,1,13,47
1,2,31,31
1,3,25,46
3,4,40,41
3,5,13,50
3,6,14,6
5,7,20,13
5,8,35,40
5,9,1,7
7,10,43,3
7,11,16,45
7,12,45,12
9,13,24,20
9,14,36,23
9,15,13,38
11,16,7,4
11,17,7,16
11,18,1,8
13,19,36,15
13,20,43,16
13,21,44,49
15,22,15,43
15,23,10,5
15,24,36,36
17,25,45,43
17,26,5,15
17,27,36,45
19,28,38,31
19,29,43,29
19,30,19,6
21,31,50,36
21,32,35,3
21,33,18,27
23,34,24,40
23,35,16,43
23,36,31,23
25,37,32,46
25,38,6,17
25,39,16,22
27,40,13,50
27,41,39,23
27,42,15,30
29,43,38,31
29,44,45,35
29,45,20,5
31,46,25,8
31,47,6,49
31,48,35,24
33,49,12,21
33,50,27,15
33,51,5,50
35,52,12,40
35,53,27,32
35,54,23,15
37,55,9,8
37,56,19,8
37,57,15,6
39,58,24,3
39,59,32,39
39,60,39,44
41,61,12,2
41,62,22,34
41,63,6,8
43,64,29,25
43,65,17,38
43,66,21,4
45,67,35,16
45,68,27,39
45,69,4,40
47,70,49,8
47,71,6,41
47,72,34,11
49,73,20,39
49,74,37,28
49,75,13,39
51,76,15,19
51,77,28,31
51,78,26,9
53,79,44,23
53,80,35,42
53,81,49,1
55,82,1,25
55,83,12,17
55,84,45,50
57,85,30,22
57,86,29,18
57,87,41,31
59,88,41,45
59,89,1,29
59,90,38,21
61,91,49,34
61,92,42,37
61,93,15,19
63,94,50,43
63,95,40,20
63,96,13,16
65,97,27,6
65,98,3,20
65,99,8,42
67,100,39,47
67,101,3,2
67,102,29,32
69,103,41,16
69,104,20,45
69,105,48,20
71,106,18,23
71,107,36,50
71,108,46,23
73,109,19,1
73,110,40,18
73,111,2,39
75,112,50,32
75,113,48,21
75,114,16,43
77,115,20,24
77,116,32,46
77,117,29,6
79,118,37,40
79,119,42,33
79,120,8,12
81,121,10,16
81,122,36,22
81,123,4,19
83,124,3,13
83,125,15,20
83,126,5,39
85,127,49,9
85,128,1,38
85,129,25,49
87,130,17,36
87,131,45,19
87,132,39,27
89,133,26,33
89,134,38,29
89,135,9,6
91,136,37,41
91,137,6,49
91,138,14,6
93,139,50,26
93,140,39,42
93,141,47,47
95,142,18,44
95,143,39,4
95,144,10,23
97,145,43,21
97,146,15,13
97,147,49,34
99,148,44,21
99,149,31,45
99,150,50,19
101,151,6,44
101,152,25,7
101,153,47,49
103,154,4,20
103,155,12,16
103,156,11,39
105,157,34,15
105,158,40,15
105,159,21,1
107,160,18,16
107,161,30,14
107,162,15,25
109,163,42,20
109,164,43,30
109,165,37,8
111,166,30,28
111,167,38,32
111,168,19,4
113,169,25,25
113,170,38,21
113,171,22,45
115,172,42,17
115,173,29,49
115,174,42,21
117,175,34,34
117,176,15,10
117,177,12,38
119,178,23,41
119,179,37,28
119,180,28,37
121,181,4,42
121,182,25,27
121,183,5,20
123,184,10,11
123,185,26,43
123,186,25,39
125,187,46,43
125,188,14,21
125,189,49,7
127,190,17,27
127,191,44,14
127,192,3,17
129,193,28,44
129,194,49,20
129,195,7,36
131,196,24,48
131,197,50,8
131,198,31,5
133,199,39,19
133,200,29,47
133,201,13,43
135,202,30,43
135,203,44,41
135,204,11,4
137,205,8,11
137,206,32,44
137,207,34,2
139,208,17,18
139,209,46,30
139,210,7,42
141,211,20,9
141,212,32,11
141,213,27,9
143,214,10,45
143,215,38,3
143,216,35,20
145,217,25,19
145,218,30,13
145,219,35,10
147,220,24,9
147,221,25,3
147,222,29,19
149,223,12,45
149,224,25,6
149,225,32,7
151,226,29,37
151,227,39,35
151,228,42,49
153,229,33,22
153,230,17,22
153,231,18,1
155,232,17,8
155,233,25,11
155,234,32,19
157,235,14,13
157,236,25,41
157,237,34,44
159,238,20,39
159,239,36,8
159,240,32,18
161,241,35,30
161,242,44,12
161,243,6,22
163,244,25,47
163,245,49,39
163,246,20,46
165,247,48,13
165,248,23,16
165,249,6,39
167,250,25,17
167,251,41,26
167,252,36,26
169,253,14,21
169,254,24,4
169,255,38,32
171,256,4,10
171,257,27,45
171,258,32,41
173,259,30,49
173,260,1,27
173,261,16,1
175,262,47,20
175,263,10,19
175,264,22,28
177,265,12,1
177,266,10,11
177,267,20,17
179,268,33,22
179,269,15,38
179,270,14,23
181,271,47,15
181,272,33,28
181,273,31,32
183,274,43,34
183,275,2,28
183,276,8,16
185,277,12,49
185,278,35,30
185,279,17,44
187,280,37,20
187,281,26,37
187,282,36,14
189,283,19,36
189,284,4,14
189,285,38,46
191,286,47,46
191,287,25,49
191,288,21,32
193,289,5,2
193,290,38,26
193,291,8,18
195,292,48,25
195,293,8,43
195,294,18,44
197,295,12,26
197,296,3,23
197,297,43,43
199,298,10,39
199,299,44,14
199,300,31,3
201,301,27,15
201,302,38,31
201,303,48,8
203,304,5,31
203,305,50,13
203,306,19,23
205,307,37,16
205,308,15,24
205,309,44,34
207,310,24,23
207,311,16,39
207,312,15,37
209,313,39,31
209,314,26,34
209,315,49,39
211,316,46,23
211,317,36,13
211,318,35,5
213,319,32,37
213,320,36,8
213,321,8,29
215,322,3,47
215,323,39,20
215,324,39,6
217,325,13,10
217,326,36,48
217,327,15,10
219,328,38,6
219,329,23,1
219,330,32,18
221,331,11,17
221,332,47,38
221,333,37,45
223,334,45,24
223,335,38,22
223,336,16,27
225,337,34,27
225,338,46,13
225,339,22,30
227,340,12,25
227,341,15,5
227,342,12,46
229,343,30,39
229,344,11,35
229,345,38,48
231,346,36,18
231,347,33,8
231,348,9,3
233,349,27,36
233,350,3,25
233,351,9,44
235,352,20,2
235,353,29,30
235,354,12,22
237,355,38,35
237,356,10,35
237,357,32,49
239,358,36,18
239,359,35,22
239,360,32,27
241,361,14,42
241,362,45,35
241,363,6,15
243,364,9,16
243,365,4,45
243,366,28,16
245,367,30,11
245,368,13,4
245,369,46,24
247,370,20,49
247,371,3,5
247,372,1,3
249,373,14,28
249,374,45,36
249,375,8,34
251,376,23,2
251,377,26,5
251,378,41,33
253,379,49,50
253,380,23,30
253,381,41,15
255,382,28,32
255,383,20,49
255,384,33,19
257,385,47,39
257,386,1,44
257,387,22,19
259,388,25,8
259,389,25,19
259,390,45,23
261,391,11,4
261,392,15,30
261,393,10,32
263,394,50,31
263,395,7,15
263,396,46,10
265,397,46,9
265,398,13,18
265,399,35,1
