time,id,source,dest
0,passenger598,3,13
0,passenger891,8,45
1,passenger834,5,36
3,passenger36,43,39
3,passenger691,25,24
3,passenger908,25,8
4,passenger58,5,22
4,passenger412,3,36
4,passenger505,43,49
5,passenger446,5,26
6,passenger386,12,34
6,passenger678,26,33
6,passenger738,7,45
6,passenger745,5,31
7,passenger192,28,26
7,passenger755,5,26
8,passenger190,3,13
8,passenger915,20,37
8,passenger940,7,22
9,passenger697,12,46
10,passenger348,18,14
10,passenger506,26,9
10,passenger532,8,10
10,passenger688,6,23
10,passenger949,30,28
11,passenger252,10,24
11,passenger360,39,17
11,passenger381,48,37
12,passenger69,15,41
12,passenger356,2,16
13,passenger233,47,48
13,passenger305,15,23
13,passenger361,6,35
13,passenger419,33,32
13,passenger442,39,13
13,passenger565,14,32
13,passenger933,6,45
14,passenger152,30,38
14,passenger209,23,31
15,passenger344,20,18
15,passenger466,36,42
15,passenger622,22,12
15,passenger765,14,43
17,passenger863,9,3
17,passenger922,40,39
17,passenger950,5,15
18,passenger82,29,3
18,passenger449,11,5
18,passenger507,46,26
19,passenger235,27,30
19,passenger480,35,10
20,passenger105,39,35
20,passenger326,8,37
20,passenger333,32,26
20,passenger825,46,33
22,passenger8,28,25
23,passenger275,23,42
23,passenger575,1,13
23,passenger844,44,46
23,passenger901,21,49
24,passenger748,9,28
25,passenger560,17,19
26,passenger353,22,13
26,passenger931,4,41
28,passenger178,43,9
28,passenger267,45,39
28,passenger350,47,22
28,passenger900,17,20
28,passenger991,25,16
29,passenger913,47,38
30,passenger68,30,26
30,passenger384,1,2
30,passenger762,13,45
30,passenger942,38,19
31,passenger149,39,49
31,passenger714,2,45
32,passenger234,3,32
32,passenger585,2,44
32,passenger596,13,26
33,passenger97,13,43
33,passenger114,3,32
34,passenger168,38,47
34,passenger198,10,33
35,passenger295,42,45
35,passenger471,43,30
36,passenger33,4,24
36,passenger92,15,9
36,passenger413,37,38
36,passenger550,20,47
37,passenger590,7,33
37,passenger948,49,47
38,passenger98,1,50
38,passenger188,21,17
38,passenger769,7,50
39,passenger38,14,10
39,passenger136,40,49
40,passenger187,49,30
40,passenger396,5,19
40,passenger760,2,1
41,passenger608,26,3
41,passenger920,28,20
42,passenger34,15,36
42,passenger154,9,34
42,passenger228,27,5
43,passenger246,31,23
43,passenger719,7,37
44,passenger61,26,48
44,passenger387,38,44
44,passenger827,48,32
45,passenger94,20,38
46,passenger28,40,17
46,passenger99,10,7
46,passenger452,5,33
46,passenger529,38,28
47,passenger142,36,31
48,passenger594,3,10
49,passenger259,41,2
49,passenger422,24,10
49,passenger488,20,1
49,passenger663,15,5
50,passenger41,39,22
50,passenger137,39,43
50,passenger180,46,50
50,passenger247,32,27
50,passenger530,41,32
50,passenger621,16,41
51,passenger615,36,48
52,passenger472,20,35
52,passenger639,44,14
53,passenger434,14,20
53,passenger995,27,10
54,passenger552,8,41
55,passenger24,34,21
55,passenger327,22,21
55,passenger424,4,18
55,passenger508,1,47
56,passenger368,33,42
56,passenger414,39,12
57,passenger135,36,26
57,passenger613,46,21
59,passenger276,10,1
59,passenger404,5,20
59,passenger654,33,37
59,passenger664,28,5
61,passenger102,43,6
61,passenger634,48,6
