time,id,source,dest
1,1,13,47
1,2,31,31
1,3,25,46
3,4,40,41
3,5,13,50
3,6,14,6
5,7,20,13
5,8,35,40
5,9,1,7
7,10,43,3
7,11,16,45
7,12,45,12
9,13,24,20
9,14,36,23
9,15,13,38
11,16,7,4
11,17,7,16
11,18,1,8
13,19,36,15
13,20,43,16
13,21,44,49
15,22,15,43
15,23,10,5
15,24,36,36
17,25,45,43
17,26,5,15
17,27,36,45
19,28,38,31
19,29,43,29
19,30,19,6
21,31,50,36
21,32,35,3
21,33,18,27
23,34,24,40
23,35,16,43
23,36,31,23
25,37,32,46
25,38,6,17
25,39,16,22
27,40,13,50
27,41,39,23
27,42,15,30
29,43,38,31
29,44,45,35
29,45,20,5
31,46,25,8
31,47,6,49
31,48,35,24
33,49,12,21
33,50,27,15
33,51,5,50
35,52,12,40
35,53,27,32
35,54,23,15
37,55,9,8
37,56,19,8
37,57,15,6
39,58,24,3
39,59,32,39
39,60,39,44
41,61,12,2
41,62,22,34
41,63,6,8
43,64,29,25
43,65,17,38
43,66,21,4
45,67,35,16
45,68,27,39
45,69,4,40
47,70,49,8
47,71,6,41
47,72,34,11
49,73,20,39
49,74,37,28
49,75,13,39
51,76,15,19
51,77,28,31
51,78,26,9
53,79,44,23
53,80,35,42
53,81,49,1
55,82,1,25
55,83,12,17
55,84,45,50
57,85,30,22
57,86,29,18
57,87,41,31
59,88,41,45
59,89,1,29
59,90,38,21
61,91,49,34
61,92,42,37
61,93,15,19
63,94,50,43
63,95,40,20
63,96,13,16
65,97,27,6
65,98,3,20
65,99,8,42
67,100,39,47
